,kev,events_per_day
175,2.6276276285,0.0001986648
176,2.6426426435,0.0001986648
177,2.6576576585,0.0001986648
178,2.6726726735,0.0001986648
179,2.6876876885,0.0001986648
180,2.7027027035,0.0001986648
181,2.7177177185,0.0001986648
182,2.7327327336,0.0001986648
183,2.7477477486,0.0001986648
184,2.7627627636,0.0001986648
185,2.7777777786,0.0001986648
186,2.7927927936,0.0001986648
187,2.8078078086,0.0001986648
188,2.8228228236,0.0001986648
189,2.8378378386,0.0001986648
190,2.8528528537,0.0001986648
191,2.8678678687,0.0001986648
192,2.8828828837,0.0001986648
193,2.8978978987,0.0001986648
194,2.9129129137,0.0001986648
195,2.9279279287,0.0001986648
196,2.9429429437,0.0001986648
197,2.9579579588,0.0001986648
198,2.9729729738,0.0001986648
199,2.9879879888,0.0001986648
